reaction_description（原文中对实验条件的简要描述，例：CT reduction in ultrapure water）,Chemical Reaction Equation（反应方程式例如CCl4 + e- →CCl3 + Cl-）,reaction_step（总反应/第1步/第2步）,reaction_type（还原 / 氧化 / 生物降解/还原+生物降解等）,reactant（反应物）,product（含产物生成比例）,reaction_order（1/0/2）,rate_constant,rate_constant_unit（min⁻¹ / h⁻¹ / L·m⁻²·h⁻¹）,half_life,half_life_unit（h / min / d）,activation_energy（活化能）,activation_energy_unit（kJ/mol）,temperature,temperature_unit（°C / K）,pH,pH_note（"buffered" / "initial"）,initial_concentration,initial_concentration_unit（mg/L / μM / mM）,mineral_type,mineral_surface_area,mineral_surface_area_unit（m²/g）,experiment_type（批次 / 柱实验 / 田间）,影响速率常数因素（pH/温度/反应物浓度/生成物浓度等）,影响速率常数因子n,oxygen_condition（氧气条件 好氧 / 厌氧 / 微好氧）,notes（其他备注，如"CF yield 28%" / "k1 and k2 from sequential fitting"）,参考文献,journal（文献发表所在期刊）
CT reduction in UV/HCOOH system,CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3 (main); CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,unadjusted,initial,5,mg/L,NA,NA,NA,批次,NA,NA,厌氧,19.1% degradation efficiency at 55 min,,Journal of Environmental Chemical Engineering
CT reduction in UV/HCOOH/NO3 system,CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3 (main); CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,unadjusted,initial,5,mg/L,NA,NA,NA,批次,NaNO3浓度,NA,厌氧,95.2% degradation efficiency at 30 min; dechlorination 41.2%,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH/NO3, pH 3.12",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,3.12,initial,5,mg/L,NA,NA,NA,批次,pH,NA,厌氧,88.8% degradation at 25 min,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH/NO3, pH 6.27",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,6.27,initial,5,mg/L,NA,NA,NA,批次,pH,NA,厌氧,94.2% degradation at 25 min,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH/NO3, pH 8.74",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,8.74,initial,5,mg/L,NA,NA,NA,批次,pH,NA,厌氧,93.5% degradation at 25 min,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH/NO3, pH 11.98",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,11.98,initial,5,mg/L,NA,NA,NA,批次,pH,NA,厌氧,83.4% degradation at 25 min,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH, 5 mM HCOOH",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,unadjusted,initial,5,mg/L,NA,NA,NA,批次,HCOOH浓度,NA,厌氧,21.0% degradation at 55 min,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH, 40 mM HCOOH",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,unadjusted,initial,5,mg/L,NA,NA,NA,批次,HCOOH浓度,NA,厌氧,98.8% degradation at 55 min,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH/NO3, 2 mg/L CT",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,unadjusted,initial,2,mg/L,NA,NA,NA,批次,反应物浓度,NA,厌氧,Rapid degradation,,Journal of Environmental Chemical Engineering
"CT reduction in UV/HCOOH/NO3, 15 mg/L CT",CCl4 + CO2⋅- → products,总反应,还原,CCl4,CHCl3; CH2Cl2,1,NA,NA,NA,NA,NA,NA,NA,NA,unadjusted,initial,15,mg/L,NA,NA,NA,批次,反应物浓度,NA,厌氧,90.5% degradation at 30 min,,Journal of Environmental Chemical Engineering
CT biotransformation in UASB reactor with glucose as primary substrate,CCl4 → intermediates → CO2,总反应,还原+生物降解,Carbon tetrachloride (CT),CO2; chloroform; methylene chloride; chloromethane,NA,2.4×10⁻³,day⁻¹,NA,NA,NA,NA,35,°C,neutral,buffered with NaHCO3,0.5-5,mg/l,NA,NA,NA,批次,CT concentration; COD loading; F/M ratio,NA,厌氧,Maximum specific substrate utilization rate k=2.4×10⁻³ day⁻¹; Half velocity coefficient Ks=1.37 mg CT/l; Growth yield Y=0.69 g TSS/g CT; Decay coefficient b=0.046 day⁻¹; k/Ks=1.75×10⁻³ l/mg day,Biotransformation of carbon tetrachloride and anaerobic granulation in a upflow anaerobic sludge blanket reactor,World Journal of Microbiology & Biotechnology
CT removal at maximum loading in UASB reactor,CCl4 → intermediates → CO2,总反应,还原+生物降解,Carbon tetrachloride (CT),CO2 and intermediates,NA,NA,NA,NA,NA,NA,NA,35,°C,neutral,buffered,5,mg/l,NA,NA,NA,批次,CT loading; COD loading; HRT,NA,厌氧,CT loading 17.5 mg/l day; COD loading 12.5 g/l day; HRT 0.28 day; F/M ratio 0.5 g COD/g TSS day; SMA 1.6 g COD/g TSS day; 88% CT removal; 92% COD removal,,World Journal of Microbiology & Biotechnology
CT toxicity test (IC50 determination),NA,NA,还原+生物降解,Carbon tetrachloride (CT),NA,NA,NA,NA,NA,NA,NA,NA,35,°C,NA,NA,2.2,mg/l,NA,NA,NA,批次,CT concentration,NA,厌氧,IC50 = 2.2 mg CT/l (50% inhibition of methane production); Serum bottles 150 ml; Contact time 2 days,,World Journal of Microbiology & Biotechnology
"CCl4 degradation in water (incomplete dissolution, E1)",CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; homogeneity,NA,厌氧,14.65% degraded in 5 min; Ar-saturated; heterogeneous solution,,Ultrasonics Sonochemistry
CCl4 degradation with 60 mM EG pretreatment (E4),CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; homogeneity,NA,厌氧,61.89% degraded in 5 min; Ar-saturated; homogeneous via EG-CCl4 pretreatment,,Ultrasonics Sonochemistry
CCl4 degradation in homogeneous water (E2),CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,homogeneity,NA,厌氧,58.93% degraded in 5 min; Ar-saturated; homogeneous solution,,Ultrasonics Sonochemistry
CCl4 degradation with 60 mM EG addition (E3),CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type,NA,厌氧,63.42% degraded in 5 min; Ar-saturated; homogeneous solution with EG added,,Ultrasonics Sonochemistry
CCl4 degradation with 30 mM PrOH pretreatment,CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; alcohol concentration,NA,厌氧,Highest degradation rate among alcohols; Ar-saturated; PrOH-CCl4 pretreatment,,Ultrasonics Sonochemistry
CCl4 degradation with 60 mM PrOH pretreatment,CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; alcohol concentration,NA,厌氧,Highest degradation rate at 60 mM; Ar-saturated; PrOH-CCl4 pretreatment,,Ultrasonics Sonochemistry
CCl4 degradation with 30 mM EtOH pretreatment,CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; alcohol concentration,NA,厌氧,Ar-saturated; EtOH-CCl4 pretreatment,,Ultrasonics Sonochemistry
CCl4 degradation with 60 mM EtOH pretreatment,CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; alcohol concentration,NA,厌氧,Ar-saturated; EtOH-CCl4 pretreatment,,Ultrasonics Sonochemistry
CCl4 degradation with 30 mM MeOH pretreatment,CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; alcohol concentration,NA,厌氧,Ar-saturated; MeOH-CCl4 pretreatment,,Ultrasonics Sonochemistry
CCl4 degradation with 60 mM MeOH pretreatment,CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; alcohol concentration,NA,厌氧,Ar-saturated; MeOH-CCl4 pretreatment,,Ultrasonics Sonochemistry
CCl4 degradation with 30 mM EG pretreatment,CCl4 → degradation products + Cl-,NA,还原,CCl4,Cl-,NA,NA,NA,NA,NA,NA,NA,20,°C,NA,NA,1035,μM,NA,NA,NA,批次,alcohol type; alcohol concentration,NA,厌氧,Lowest degradation rate among alcohols; Ar-saturated; EG-CCl4 pretreatment,,Ultrasonics Sonochemistry
CT reduction in CaO2/Fe(II)/EtOH system in ultrapure water,CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,"Cl-, CF, HCA, 1,1,1-TCA, 1,1-DCE, PCE",NA,NA,NA,NA,NA,NA,NA,20,°C,unadjusted,initial,0.13,mmol/L,NA,NA,NA,批次,CaO2/Fe(II)/EtOH dosage,NA,NA,99.7% removal in 20 min; O2•- and HER identified as main radicals,,Separation and Purification Technology
CT reduction with varying CaO2 dosage,CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,Cl- and intermediates,NA,NA,NA,NA,NA,NA,NA,20,°C,unadjusted,initial,0.13,mmol/L,NA,NA,NA,批次,CaO2 dosage,NA,NA,Optimal CaO2 = 3.90 mmol/L with 99.7% removal,,Separation and Purification Technology
CT reduction with varying Fe(II) dosage,CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,Cl- and intermediates,NA,NA,NA,NA,NA,NA,NA,20,°C,unadjusted,initial,0.13,mmol/L,NA,NA,NA,批次,Fe(II) dosage,NA,NA,Optimal Fe(II) = 5.20 mmol/L with 99.7% removal,,Separation and Purification Technology
CT reduction with varying EtOH dosage,CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,Cl- and intermediates,NA,NA,NA,NA,NA,NA,NA,20,°C,unadjusted,initial,0.13,mmol/L,NA,NA,NA,批次,EtOH dosage,NA,NA,Complete removal at EtOH ≥ 1.30 mmol/L,,Separation and Purification Technology
CT reduction at pH 3-5,CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,Cl- and intermediates,NA,NA,NA,NA,NA,NA,NA,20,°C,3月5日,initial,0.13,mmol/L,NA,NA,NA,批次,pH,NA,NA,>99% removal at pH 3-5 in 20 min,,Separation and Purification Technology
CT reduction in actual groundwater,CCl4 + e- → CCl3• + Cl-,总反应,还原,CCl4,Cl- and intermediates,NA,NA,NA,NA,NA,NA,NA,20,°C,7.1,initial,0.13,mmol/L,NA,NA,NA,批次,reagent dosage,NA,NA,99.67% removal at 300/400/100/1 molar ratio (CaO2/Fe(II)/EtOH/CT),,Separation and Purification Technology
"CT reduction with PCE, Stage 12",CCl4 → products,总反应,还原,CT,"CF (transient); CM (trace, 12 nM); CO2 (inferred)",NA,NA,NA,NA,NA,NA,NA,20,°C,7.25,buffered,0.015,mM,Ottawa sand,NA,NA,批次,NA,NA,厌氧,PCE to ETH (96.8%); VC (3.1%); H2 32 nM,,Journal of Contaminant Hydrology
"13CT transformation to 13CO2, Stage 14",13CCl4 → 13CO2,总反应,还原,13CT,13CO2 (93%),NA,NA,NA,NA,NA,NA,NA,20,°C,7.25,buffered,0.03,mM,Ottawa sand,NA,NA,批次,NA,NA,厌氧,Background 13CO2 0.088 mM; max 13CO2 0.116 mM; trace CO 0.13 μM,,Journal of Contaminant Hydrology
"13CT transformation, Stage 18",13CCl4 → 13CO2 + soluble products,总反应,还原,13CT,13CO2 (82%); soluble products (18%),NA,NA,NA,NA,NA,NA,NA,20,°C,7.25,buffered,0.1,mM,Ottawa sand,NA,NA,批次,NA,NA,厌氧,13CO2 0.170 mM; modified COD analysis for soluble products; H2 36 nM,,Journal of Contaminant Hydrology
"Reduced lactate condition, Stage 19",CCl4 → CF; C2Cl4 → c-DCE + VC + ETH,总反应,还原,CT; PCE,CF (from CT); c-DCE (57%); VC (39%); ETH (4%),NA,NA,NA,NA,NA,NA,NA,20,°C,7.25,buffered,0.10; 0.1,mM; mM,Ottawa sand,NA,NA,批次,Lactate浓度,NA,厌氧,Only 59% CT transformed; 13CO2 decreased to background; H2 2.3 nM; propionate fermentation inhibited,,Journal of Contaminant Hydrology
Stage 14: 13CT (0.03 mM) transformation to 13CO2,13CT → 13CO2,总反应,还原,13CT,13CO2 (93%),NA,NA,NA,4.8,d,NA,NA,20,°C,7.25,buffered,0.03,mM,Ottawa sand (20/30 mesh),NA,NA,批次,NA,NA,厌氧,93% of 13CT transformed to 13CO2; H2 ~32 nM,,Journal of Contaminant Hydrology
Stage 17: 13CT (0.06 mM) transformation,13CT → 13CO2,总反应,还原,13CT,"13CO2; ETH (95.8%), VC (4.17%)",NA,NA,NA,4.8,d,NA,NA,20,°C,7.25,buffered,0.06,mM,Ottawa sand (20/30 mesh),NA,NA,批次,CT浓度,NA,厌氧,H2 ~32 nM,,Journal of Contaminant Hydrology
Stage 18: 13CT (0.10 mM) transformation,13CT → 13CO2 + soluble products,总反应,还原,13CT,"13CO2 (82%), soluble products (18%)",NA,NA,NA,4.8,d,NA,NA,20,°C,7.25,buffered,0.1,mM,Ottawa sand (20/30 mesh),NA,NA,批次,CT浓度,NA,厌氧,"82% to CO2, 18% to soluble products; H2 ~36 nM",,Journal of Contaminant Hydrology
Stage 19: Reduced lactate (0.67 mM),13CT → CF (incomplete transformation),总反应,还原,13CT,"CF (primary product); cDCE (60%), VC (36%), ETH (4%)",NA,NA,NA,4.8,d,NA,NA,20,°C,7.25,buffered,0.1,mM,Ottawa sand (20/30 mesh),NA,NA,批次,Lactate浓度,NA,厌氧,Only 59% CT transformed; H2 decreased to ~2.3 nM; propionate fermentation inhibited,,Journal of Contaminant Hydrology
CCl4 reduction with Ti(III) citrate and aquocobalamin,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,multi-step,还原,CCl4,"CHCl3, CH2Cl2, CH3Cl, CH4, trace C2H6",NA,NA,NA,NA,NA,NA,NA,30,°C,8.2,buffered,2.2,µmol,NA,NA,NA,批次,temperature; corrinoid concentration; substrate concentration,NA,厌氧,Rate decreases in series CCl4>CHCl3>CH2Cl2>CH3Cl; N2 atmosphere; 8-mL serum bottles,,Biochemistry
CHCl3 reduction with Ti(III) citrate and aquocobalamin,CHCl3 → CH2Cl2 → CH3Cl → CH4,multi-step,还原,CHCl3,"CH2Cl2, CH3Cl, CH4",NA,NA,NA,NA,NA,NA,NA,30,°C,8.2,buffered,2.2,µmol,NA,NA,NA,批次,NA,NA,厌氧,N2 atmosphere,,Biochemistry
CH2Cl2 reduction with Ti(III) citrate and aquocobalamin,CH2Cl2 → CH3Cl → CH4,multi-step,还原,CH2Cl2,"CH3Cl, CH4",NA,NA,NA,NA,NA,NA,NA,30,°C,8.2,buffered,2.2,µmol,NA,NA,NA,批次,NA,NA,厌氧,N2 atmosphere,,Biochemistry
CH3Cl reduction with Ti(III) citrate and aquocobalamin,CH3Cl → CH4,总反应,还原,CH3Cl,CH4,NA,~2-3,nmol/h,NA,NA,NA,NA,30,°C,8.2,buffered,2.2,µmol,NA,NA,NA,批次,NA,NA,厌氧,Very slow rate; N2 atmosphere,,Biochemistry
CCl4 reduction with DTT and aquocobalamin,CCl4 → CHCl3 → CH2Cl2 → CH3Cl → CH4,multi-step,还原,CCl4,"CHCl3, CH2Cl2, trace CH3Cl, trace CH4",NA,~5,nmol CH4/120 min,NA,NA,NA,NA,30,°C,8.2,buffered,2.2,µmol,NA,NA,NA,批次,NA,NA,厌氧,CH3Cl and CH4 formation extremely slow with DTT; N2 atmosphere,,Biochemistry
CHCl3 reduction with Ti(III) and (cyanoaquo)cobinamide at pH 7,CHCl3 → CH2Cl2 → CH3Cl → CH4,multi-step,还原,CHCl3,"CH2Cl2 (360 nmol/4min), CH3Cl (448 nmol/4min), CH4 (92 nmol/4min)",NA,NA,NA,NA,NA,NA,NA,60,°C,7,buffered,2.2,µmol,NA,NA,NA,批次,corrinoid type,NA,厌氧,(Cyanoaquo)cobinamide most effective catalyst; N2 atmosphere,,Biochemistry
CHCl3 reduction with Ti(III) and aquocobalamin at pH 7,CHCl3 → CH2Cl2 → CH3Cl → CH4,multi-step,还原,CHCl3,"CH2Cl2 (252 nmol/4min), CH3Cl (276 nmol/4min), CH4 (44 nmol/4min)",NA,NA,NA,NA,NA,NA,NA,60,°C,7,buffered,2.2,µmol,NA,NA,NA,批次,corrinoid type,NA,厌氧,N2 atmosphere,,Biochemistry
CHCl3 reduction with Ti(III) and methylcobalamin at pH 7,CHCl3 → CH2Cl2 → CH3Cl → CH4,multi-step,还原,CHCl3,"CH2Cl2 (68 nmol/4min), CH3Cl (56 nmol/4min), CH4 (44 nmol/4min)",NA,NA,NA,NA,NA,NA,NA,60,°C,7,buffered,2.2,µmol,NA,NA,NA,批次,corrinoid type,NA,厌氧,N2 atmosphere,,Biochemistry
CCl4 reduction with Ti(III) and methylcobalamin,CCl4 → CH4,multi-step,还原,CCl4,CH4 (36 nmol/15min),NA,NA,NA,NA,NA,NA,NA,60,°C,7,buffered,2,µmol,NA,NA,NA,批次,NA,NA,厌氧,N2 atmosphere,,Biochemistry
CHCl3 reduction with Ti(III) and methylcobalamin,CHCl3 → CH4,multi-step,还原,CHCl3,CH4 (16 nmol/15min),NA,NA,NA,NA,NA,NA,NA,60,°C,7,buffered,2,µmol,NA,NA,NA,批次,NA,NA,厌氧,N2 atmosphere,,Biochemistry
CH2Cl2 reduction with Ti(III) and methylcobalamin,CH2Cl2 → CH4,multi-step,还原,CH2Cl2,CH4 (7 nmol/15min),NA,NA,NA,NA,NA,NA,NA,60,°C,7,buffered,2,µmol,NA,NA,NA,批次,NA,NA,厌氧,N2 atmosphere,,Biochemistry
CCl4 natural attenuation in groundwater over 62 days,CCl4 → CH2Cl2 → products,总反应,还原,CCl4,CH2Cl2; other products,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6-7.1,initial,920,μg/L,NA,NA,NA,批次,pH; ORP; 微生物活性,NA,厌氧,91.7% degradation efficiency over 62 days; concentration decreased from 920 to 34.3 μg/L,,Global NEST Journal
C2Cl4 natural attenuation in groundwater over 62 days,C2Cl4 → C2HCl3 → products,总反应,还原,C2Cl4,C2HCl3; other products,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6-7.1,initial,222,μg/L,NA,NA,NA,批次,pH; ORP; 微生物活性,NA,厌氧,41.0% degradation efficiency by day 62; concentration decreased from 222 to 131 μg/L,,Global NEST Journal
C2H2Cl4 natural attenuation in groundwater over 62 days,C2H2Cl4 → C2H3Cl3 + C2H4Cl2,总反应,还原,C2H2Cl4,C2H3Cl3; C2H4Cl2,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6-7.1,initial,77,μg/L,NA,NA,NA,批次,pH; ORP; 微生物活性,NA,厌氧,49.1% degradation efficiency over 62 days; concentration decreased from 77.0 to 39.2 μg/L,,Global NEST Journal
CCl4 with HgCl2 addition (abiotic control) over 62 days,CCl4 → products,总反应,还原,CCl4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6-7.0,initial,920,μg/L,NA,NA,NA,批次,pH; ORP,NA,厌氧,Minimal degradation (7.9%); concentration changed from 920 to 847 μg/L; demonstrates microbial role,,Global NEST Journal
C2Cl4 with HgCl2 addition (abiotic control) over 62 days,C2Cl4 → products,总反应,还原,C2Cl4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6-7.0,initial,222,μg/L,NA,NA,NA,批次,pH; ORP,NA,厌氧,Minimal degradation (4.5%); concentration changed from 222 to 212 μg/L,,Global NEST Journal
C2H2Cl4 with HgCl2 addition (abiotic control) over 62 days,C2H2Cl4 → products,总反应,还原,C2H2Cl4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6-7.0,initial,77,μg/L,NA,NA,NA,批次,pH; ORP,NA,厌氧,Minimal degradation (7.0%); concentration changed from 77.0 to 71.6 μg/L,,Global NEST Journal
CT reduction by FeBH in batch,CCl4 + H+ + 2e- → products,总反应,还原,carbon tetrachloride,chloroform (major); CH2Cl2 (minor); CH4 (trace),1,0.01-0.1,L·m⁻²·min⁻¹,NA,NA,NA,NA,~22,°C,8.4,buffered,4.0 or 862,μM,nano zero-valent iron (borohydride-reduced),5-33.5,m²/g,批次,particle type; buffer; pH; initial concentration,NA,厌氧,kSA range from Figure 5; YCF > 0.4 (Figure 6),"Characterization and properties of metallic iron nanoparticles: Spectroscopy, electrochemistry, and kinetics",Environ. Sci. Technol.
CT reduction by FeH2 in batch,CCl4 + H+ + 2e- → products,总反应,还原,carbon tetrachloride,chloroform (major); CH2Cl2 (minor); formate (minor),1,0.01-0.1,L·m⁻²·min⁻¹,NA,NA,NA,NA,~22,°C,8.4,buffered,4.0 or 862,μM,nano zero-valent iron (H2-reduced goethite),3月29日,m²/g,批次,particle type; buffer; pH; initial concentration,NA,厌氧,kSA range from Figure 5; YCF < 0.4 (Figure 6); favorable product distribution,,Environ. Sci. Technol.
CT reduction by FeEL in batch,CCl4 + H+ + 2e- → products,总反应,还原,carbon tetrachloride,chloroform (major),1,0.001-0.01,L·m⁻²·min⁻¹,NA,NA,NA,NA,~22,°C,8.4,buffered,4,μM,micro-sized electrolytic Fe0,0.1-1,m²/g,批次,particle type; surface area,NA,厌氧,kSA range from Figure 5; YCF > 0.4 (Figure 6),,Environ. Sci. Technol.
CN32 alone,CT → CF,NA,还原,CT,CF,1,0.041,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,NA,NA,NA,批次,NA,NA,厌氧,17-30% removal in 10h,Biogenic FeS accelerates reductive dechlorination of carbon tetrachloride by Shewanella putrefaciens CN32,Enzyme and Microbial Technology
CN32 with thiosulfate (no FeS formation),CT → CF,NA,还原,CT,CF,1,0.026,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,NA,NA,NA,批次,NA,NA,厌氧,Lower rate due to toxic sulfide,,Enzyme and Microbial Technology
CN32 with Fe(III) only (no FeS formation),CT → CF,NA,还原,CT,CF,1,0.05,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,NA,NA,NA,批次,NA,NA,厌氧,Slightly higher than CN32 alone,,Enzyme and Microbial Technology
CN32 with biogenic FeS (1 mM thiosulfate + 1 mM Fe(III)),CT → CF,NA,还原,CT,CF,1,0.29,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,mackinawite,1.86,m²/g,批次,Fe(III) dosage,NA,厌氧,8-fold increase vs CN32 alone,,Enzyme and Microbial Technology
CN32 with biogenic FeS (1 mM thiosulfate + 2 mM Fe(III)),CT → CF,NA,还原,CT,CF,1,0.35,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,mackinawite,1.86,m²/g,批次,Fe(III) dosage,NA,厌氧,Highest rate observed,,Enzyme and Microbial Technology
CN32 with biogenic FeS (1 mM thiosulfate + 5 mM Fe(III)),CT → CF,NA,还原,CT,CF,1,0.35,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,mackinawite,1.86,m²/g,批次,Fe(III) dosage,NA,厌氧,Same rate as Fe(2),,Enzyme and Microbial Technology
CN32 with biogenic FeS (1 mM thiosulfate + 10 mM Fe(III)),CT → CF,NA,还原,CT,CF,1,0.33,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,mackinawite,1.86,m²/g,批次,Fe(III) dosage,NA,厌氧,Slightly decreased rate,,Enzyme and Microbial Technology
Pasteurized biogenic FeS,CT → CF,NA,还原,CT,CF,1,0.26,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,mackinawite,1.86,m²/g,批次,NA,NA,厌氧,Confirms dominant role of FeS,,Enzyme and Microbial Technology
Unpasteurized biogenic FeS,CT → CF,NA,还原,CT,CF,1,0.25,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,mackinawite,1.86,m²/g,批次,NA,NA,厌氧,Similar to pasteurized,,Enzyme and Microbial Technology
Abiotic FeS (chemically synthesized),CT → CF,NA,还原,CT,CF,1,0.05,h⁻¹,NA,NA,NA,NA,30,°C,7,buffered,35,μM,mackinawite,24.95,m²/g,批次,NA,NA,厌氧,5-fold lower than biogenic FeS,,Enzyme and Microbial Technology
"CT biodegradation in column with weekly acetate injection, with solid-phase reactions",CT + e- → products,总反应,还原+生物降解,Carbon tetrachloride (CT),NA,1,0.121,L/mg-day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,"Second-order rate constant k0; Dak=0.74; column length 200 cm, biocurtain 11 cm",,Water Resources Research
"CT biodegradation in column with weekly acetate injection, without solid-phase reactions",CT + e- → products,总反应,还原+生物降解,Carbon tetrachloride (CT),NA,1,0.189,L/mg-day,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Second-order rate constant k0; from Phanikumar et al. 2002a,,Water Resources Research
Nitrate utilization rate in CT biodegradation system,NA,NA,生物降解,Nitrate,NA,1,18.89,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Nitrate utilization coefficient g; Dag=13.85,,Water Resources Research
Microbial detachment rate,NA,NA,生物降解,NA,NA,1,0.048,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Detachment rate Kdet; Dadet=0.03,,Water Resources Research
Microbial decay rate,NA,NA,生物降解,NA,NA,1,0.136,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Decay rate bKC; Dab=0.10,,Water Resources Research
First-order kinetic sorption/desorption rate for CT,NA,NA,吸附/解吸,Carbon tetrachloride (CT),NA,1,0.36,day⁻¹,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,aquifer sediment,NA,NA,批次,NA,NA,厌氧,Two-site nonequilibrium sorption model; k parameter; retardation R=2.64,,Water Resources Research
Chloroform degradation in groundwater solution phase,CHCl3 + H* → products + Cl-,Total reaction,还原,Chloroform,NA,1,0.002,L/(m²·min),NA,NA,NA,NA,23,°C,7.8,initial,25,ppb,NA,187,m²/g,批次,NA,NA,厌氧,"0.5 wt% Pd, ksa normalized",,Journal of Membrane Science
Carbon tetrachloride degradation in groundwater solution phase,CCl4 + H* → products + Cl-,Total reaction,还原,Carbon tetrachloride,NA,1,0.101,L/(m²·min),NA,NA,NA,NA,23,°C,7.8,initial,31,ppb,NA,187,m²/g,批次,NA,NA,厌氧,"0.5 wt% Pd, ksa normalized",,Journal of Membrane Science
